Date,Price,Change
27-04-2020,"7,603.95",1.47
24-04-2020,"7,493.45",-1.73
23-04-2020,"7,625.30",1.21
22-04-2020,"7,533.80",1.87
21-04-2020,"7,395.85",-2.87
20-04-2020,"7,614.60",0
17-04-2020,"7,614.40",2.73
16-04-2020,"7,412.30",0.93
15-04-2020,"7,344.35",-0.22
13-04-2020,"7,360.35",-1.09
09-04-2020,"7,441.65",3.91
08-04-2020,"7,161.45",0.17
07-04-2020,"7,149.00",7.69
03-04-2020,"6,638.45",-1.83
01-04-2020,"6,761.95",-3.36
31-03-2020,"6,996.75",3.67
30-03-2020,"6,749.20",-3.63
27-03-2020,"7,003.30",0.14
26-03-2020,"6,993.85",4.01
25-03-2020,"6,724.00",5.63
24-03-2020,"6,365.45",1.96
23-03-2020,"6,243.00",-12.81
20-03-2020,"7,160.10",5.18
19-03-2020,"6,807.20",-2.9
18-03-2020,"7,010.55",-5.49
17-03-2020,"7,417.65",-2.3
16-03-2020,"7,591.90",-7
13-03-2020,"8,163.00",3.31
12-03-2020,"7,901.35",-8.32
11-03-2020,"8,618.05",-0.15
09-03-2020,"8,631.35",-4.73
06-03-2020,"9,059.95",-2.37
05-03-2020,"9,280.15",0.24
04-03-2020,"9,258.25",-0.71
03-03-2020,"9,324.30",1.59
02-03-2020,"9,178.80",-0.62
28-02-2020,"9,236.05",-3.58
27-02-2020,"9,579.35",-0.45
